text,label
"When I die, my wife named Suraj' is owner of that property",Precedent

"And my wife has powers to do in the same way as I have absolute powers to do when I am present, and in case of my wife's death, my daughter Mahalaxmi is owner of the said property after that",Precedent

"It was held that Suraj took only a life estate under the will, with remainder over to Mahalaxmi after her death and the bequest to Mahalaxmi was not contingent on her surviving Suraj, but that she took a vested remainder which upon her death passed to her heirs",Precedent

"After considering the rival contentions of the parties, we are of the opinion that no sufficient grounds have been made out for disturbing the unanimous opinion of the two courts below on the construction of this will",Ruling by Present Court

Both the learned counsel eventually conceded that the language used in the will was consistent with the testator's intention of conferring a life estate in the English sense as well as with the intention of conferring a Hindu widow's estate,Ratio of the decision

"It was, however, urged by Mr. Rajah Iyer that as no express or implied power of alienation for purposes of all legal necessities was conferred on the widow, that circumstance negatived the view that the testator intended to confer upon his widow a Hindu widow's estate as she would get in case of intestacy",Argument

"He also emphasized that the words of the gift over to the daughter as supporting his construction which was further reinforced by the words of the will limiting the widow's estate "" till your lifetime "" and of the omission from therein of words such as nialik etc., while describing the widow's estate",Argument

"Mr. Krisbnaswami lyengar, on the other hand, contended that the absence of any words in the will restricting her powers of alienation and putting a restraint on them, suggested a contrary intention and that the daughter's estate was described as coming into being after the estate of the widow and was not conferred on her simultaneously with the widow, and this connoted according to the notions of Hindus a full Hindu widow's estate",Argument

"In our judgment, there is force in the contention of Mr. Rajah Iyer for reasons already stated and in the result, therefore, we dismiss this appeal with costs",Ruling by Present Court

Appeal dismissed,Ruling by Present Court
"In this appeal, by special leave, the appellant challenges his conviction and sentence imposed upon him for offences under Sections 302, 201, read with Ss. 34 and 394, IPC For the offence of murder section 302 he has been sentenced to death and for the offences sections 201 and 394 he has been sentenced to undergo rigorous imprisonment for 7 years and 10 years respectively and the sentences have been directed to run concurrently.",Ratio of the decision
"The appellant's conviction for all these offences have been confirmed by the High Court of Allahabad, by its judgment dated November 13, 1967.",Ruling by Lower Court
"The prosecution case, in brief, was as follows.",Facts
"The appellant, who was well known to and was friendly with one Kalawati, an old woman of about 70 years of age, had called on her on the morning of September 19, 1966 and asked her to come to his Gher in the evening to take some maize which he had got ready for her.",Facts
"Kalawati went to the Gher of the appellant at about 4 p.m., the same day.",Facts
"The appellant, with the assistance of another person Kripal (since deceased) killed Kalawati by strangling her and removed from her body gold and silver ornaments which she was wearing.",Facts
The dead body which was first concealed in a heap of chaff in the Gher of the appellant was later on thrown into a well known as Chamaron Wala Kuan.,Facts
"The tenants living in the house of Kalawati, as well as some neighbors, noticed the disappearance of Kalawati the same night and made a search which was of no avail.",Facts
"Later in the night of September 19, 1966 the appellant is stated to have come to the house of Kalawati and given out that the latter had gone away to the village of Garhi along with Kripal and that he had been asked to sleeps in her house; but the tenants trued him away.",Facts
"The dead body of Kalawati was found floating in the well on the morning of September 20, 1966 and a report, Exhibit Ka 4, was lodged with the police by one Mahendra Dutt, P.W. 11, who was a near relation of the deceased.",Facts
"After inquest proceedings, the post mortem certificate is Exhibit Ka 1.",Facts
The opinion of the Doctor is that death of Kalawati is due to asphyxia as a result of strangulation.,Facts
"The Station Officer, Mowana Police Station, on receiving information from an informer suspected the appellant as the culprit and consequently arrested him on September 21, 1966.",Facts
"The appellant is stated to have taken the police officers as well as certain witnesses to his house and taken out from his locked box six gold bangles, for gold ear rings, a gold ear top and four silver lachchas.",Facts
"These articles were identified as the property of the deceased by P. Ws. 1, 2 and 10.",Facts
The defence of the accused was one of complete denial and he also disputed the truth of any ornaments having been produced by him from his locked box after his arrest.,Facts
He further pleaded that he had been falsely implicated in the case because of the hostility of police as he has refused to give evidence in a gambling case.,Facts
He also pleaded that he had been between whom and his father there had been bitter enmity in connection with certain election proceedings.,Facts
That Kalawati was the victim of murder is clear from the evidence of the Doctor P.W. 3.,Facts
He has spoke to the fact that the death of Kalawati was due to asphyxia brought about by strangulation.,Facts
"He has also mentioned in his post mortem certificate, Exhibit Ka 1, that there was a contusion 3 1/2""x 2 1/2"" extending from the right side of the neck near the collar bone on to the upper part of the chest, and the soft tissues of the neck had been ruptured both in front and at the sides of the neck, while the hyoid bone was fractured.",Facts
There were naught witnesses a such for the murder and for establishing the guilt of the appellant the prosecution relied entirely on circumstantial evidence.,Facts
The procession relied on the following circumstances as proving the cult of the accused :,Facts
"(1) That the accused was well acquainted with Mst.	Facts
Kalawati and often used to visit her house.	Facts
(2) That in the morning of 19 9 1966 the accused came to Kalawati's house and asked her to come to his enclosure in the evening to fetch some maize.	Facts
(3) That at 4 p.m. on 19 9 1966 Kalawati went to the enclosure of the accused and was seen with him there.	Facts
(4) That at about 10 or 11 p.m. on 19 9 1966 the accused came to Kalawati's house and told the tenants living there that Kalawati had gone off to Garhi with Kripal and that she had sent him to sleep at the house to guard the premises.	Facts
(5) That on 21 9 1966 gold and silver ornaments belonging to Kalawati, which she had been wearing when she went to the accused's enclosure two days earlier, were recovered from a locked box in the accused's house, the key of which was produced by the accused.",Facts
"P.Ws. 1, 4, and 11 have given evidence regarding circumstance no. 1.",Facts
P.W. 1 has spoken regarding circumstance no. 2.,Facts
P. W. 8 has given evidence regarding circumstance no. 3.,Facts
"This witness has stated that he saw on the evening of September 19, 1966 Kalawati in the company of the appellant and his associate Kripal.",Facts
"It may be stated that this was the last occasion when Kalawati was seen alive by any of the witnesses, because, on the next morning her dead body was found in the well.",Facts
"Circumstance no. 4 is spoken to by P.W. 1, her husband P. W. 4 and P.W. 7.",Facts
"The last circumstance, viz., the recovery of the ornaments belonging to the deceased on September 21, 1966 is spoken to by the two police officers, P. Ws. 14 and 17, as well as by P.W 6 who was one of the Panch witnesses of recovery, under Exhibit Ka 2, on September 21, 1966.",Facts
"Both the learned Sessions Judge, as well as the High Court on appeal, have accepted as true the evidence of the witnesses, referred to above, and have further held that the five circumstances, relied on by the prosecution, have been fully established.",Ruling by Lower Court
"Taking all the circumstances together in conjunction with the denial of the accused, the High Court, in agreement with the learned Sessions Judge, has become to the conclusion that it is the appellant who murdered Kalawati, robbed her of her ornaments and disposed of her body by throwing it into the well.",Ruling by Lower Court
"Mr. Nuruddin Ahmed, learned for the appellant, has urged two contentions : (i) that the finding regarding recovery of ornaments at the instance of the appellant, recorded by the learned Session Judge and the High Court, is perverse and that no reasonable person can come to that conclusion, on the evidence on record and (ii) that even if the recovery of ornaments at the instance of the appellant, is accepted as true, it does not lead to the conclusion that it is the appellant who committed the murder.",Argument
We are satisfied that neither of these contentions can be accepted.,Ratio of the decision
The conviction of the appellant in this case is based upon circumstantial evidence and the High Court and the Sessions Judge have accepted as true the evidence of the witnesses who speak to the various circumstances relied on by the prosecution.,Ratio of the decision
"When there are concurrent findings on facts, this Court does not, normally, taken upon itself the task of again reviewing the evidence; but, in view of the aback that the finding regarding recovery of ornaments is perverse, we have ourselves gone through to he evidence bearing on that aspect, and we are satisfied, notwithstanding certain minor discrepancies, that the evidence relating to the same is true and has been rightly accepted by the learned Sessions Judge and High Court.",Ratio of the decision
"The production of ornaments by the appellant, after his arrest, and which ornaments have been identified as belonging to the deceased, is a very strong circumstance in the chain of circumstances relied on by the prosecution.",Ratio of the decision
"The evidence relating to recovery of ornaments is furnished by the two police officers, P. Ws. 14 and 17 and the Panch witness P.W. 6.",Ratio of the decision
"According to this evidence, the appellant was arrested on September 21, 1966 by P.W. 14 and the appellant agreed to produce the ornaments of Kalawati which he had kept in his house.",Ratio of the decision
"The appellant took the place officers, P.W. 6 and one Bishamber Dayal to his house and, after opening the locked box which was in a room upstairs, he produced six gold bangles, four gold ear rings, one gold ear top and four silver lachchas.",Ratio of the decision
"These articles have been identified by P. Ws. 1, 2 and 10 as belonging to the deceased.",Ratio of the decision
These witnesses have spoken to the fact that these ornaments were normally worn by Kalawati.,Ratio of the decision
