id,text
d1_s34,"The State Government shall, as soon as may be, report the fact to the Central Government."
d1_s35,U/s. 7 of the Act grounds of order of detention are to be disclosed to the persons affected by the order not later than 5 days from the date of detention and the Act further requires to afford the person affected by the order the earliest opportunity of making a representation against the order to the appropriate Government.
d1_s36,"In the present petition, we are concerned with the scope and intent of section 7 of the Act in regard to the representation made by the petitioner. section 8 of the Act contemplates constitution of Advisory Boards. section 9 requires the appropriate Government within 30 days from the date of detention to place the grounds and the representation, if any, before the Advisory Board."
d1_s37,"The Advisory Board section 10 is to consider the materials and if the Board considers it essential to hear the person concerned who desires to be heard, the Board will hear the person and make the report."
d1_s38,Section II of the Act states that the Government may confirm the detention order if the Advisory Board gives an opinion to that effect.
d1_s39,U/s. 13 of the Act the State Government may revoke an order passed by its officers and the Central Government may revoke an order made by the State Government.
d1_s40,"Counsel on behalf of the State of West Bengal contended that the matter was referred to the Advisory Board along with the representation of the detenu dated 23 June, 1969 and the State Government on 19 August, 1969 rejected the representation of the petitioner and thus discharged its duty."
d1_s41,This contention has to be examined in the light of article 22 of the Constitution and the provisions of the Act.
d1_s42,There have been five recent decisions of this Court on the provisions of this Act particularly in regard to the right of the detenu to have his representation considered by the appropriate Government and the obligation of the appropriate Government in that behalf.
d1_s43,In Sk.
d1_s44,"Abdul Karim & Ors. vs The State of West Bengal, (1969) 3 S.C R. 479 1969 Indlaw SC 262 this Court held that the appropriate Government could not be said to discharge the obligation merely by forwarding the representation of the detenu to the Advisory Board. article 22 of the Constitution guarantees the right of a detenu to have a proper consideration of the representation by the appropriate authority."
d1_s45,"In the case of Pankaj Kumar Chakravarty & Ors. vs The State of West Bengal, [1970] 1 S.C.R.543 1969 Indlaw SC 128 this Court put in the forefront the distinction between the twin obligations of the appropriate authority sections 7 and 8 of the Act."
d1_s46,The appropriate Government is to consider the representation of the detenu inasmuch as section 7 of the Act speaks of affording the detenu the earliest opportunity of making a representation against the order of detention.
d1_s47,The obligation of the appropriate authority to consider the representation of the detenu under section 7 of the Act is entirely independent of any action of the Advisory Board or any consideration by the said Board of the representation of the detenu.
d1_s48,"In the case of Pankaj Kumar Chakrabarty, [1970] 1 S.C.R.543 1969 Indlaw SC 128 this Court observed :"
d1_s49,The peremptory language in cl. 5 of article 22 of the Constitution and section 7 of the Act would not have been necessary if the Board and not the Government had to consider the representation.
d1_s50,There is another reason why the appropriate Government is required to consider on its own the representation of the detenu.
d1_s51,If the consideration of the representation of the detenu by the Board sufficed the Constitutional guarantee section 7 of the Act would be robbed of its content.
d1_s52,"In Pankai Kumar Chakrabarty's case, [1970] 1 S.C.R.543 1969 Indlaw SC 128 this Court emphasised the aspect that the representation was addressed to the Government and not directly to the Advisory Board and it was for the reason that the appropriate authority was to exercise its opinion and judgment in an independent and honest manner."
d1_s53,"It, therefore, follows that the appropriate authority is to consider the representation of the detenu uninfluenced by any opinion or consideration of the Advisory Board."
d1_s54,"In the case of Khairul Haque vs State of West Benga, W.P. no. 246 of 1969 decided on 10 9 1969. this Court observed that ""it is' implicit in the language of article 22 that the appropriate Government, while discharging its duty to consider the representation cannot depend upon the views of the Board on such representation""."
d1_s55,The logic behind this proposition is that the Government should immediately consider the representation of the detenu before sending the matter to the Advisory Board and further that such action will then have the real flavour of independent judgment.
d1_s56,"In the case of Shyamal Chakraborty vs The Commissioner of Police, Calcutta & Anr., [1970] 1 S.C.R. 762 1969 Indlaw SC 132 one of the contentions was that the detenu's representation was not considered by the Government."
d1_s57,"There, the facts were these."
d1_s58,"The detenu was arrested on 13 November, 1968."
d1_s59,"On 6 January, 1969 the Governor was pleased to confirm the order of detention after the Advisory Board had given opinion that there was sufficient cause for detention of the petitioner."
d1_s60,"The detenu thereafter on 13 or 16 January, 1969 made a representation."
d1_s61,"On I April, 1969 the Commissioner of Police informed the Home Department that he did not recommend the release of the petitioner."
d1_s62,"On 28 March, 1969 notice was issued under Article. 32 of the Constitution to the Commissioner of Police and to the State Government to show cause why the petitioner should not be set at liberty."
d1_s63,"It is curious that even when Shayamal's case, [1970] 1 S.C.R. 762 1969 Indlaw SC 132 was heard in this Court on 4 August 1969 the representation of the petitioner could not be traced."
d1_s64,"This, Court did not accept the contention of the petitioner that there was any breach of section 7 of the Act on consideration of the facts that the detenu did not choose to make a representation till after the Advisory Board had dealt with the matter and further that the State Government was in the process of dealing with the representation and the detenu did not state that the grounds of detention were false."
d1_s65,"This Court concluded in the case of Shyamal Chakraborty, [1970] 1 S.C.R. 762 1969 Indlaw SC 132 by stating that the State Government would deal with the representation and pass a suitable order."
d1_s66,"When the present Writ Petition came up for hearing on 30 September, 1969 before the Bench consisting of Sikri, Mitter and Reddy, JJ., the matter was referred for decision by a larger Bench to consider as to what would be the question of period within which the Government could dispose of the representation of the detenu because it was felt that there was an apparent conflict between the cases , of Shyamal Chakraborty, [1970] 1 S.C.R. 762 1969 Indlaw SC 132and Khairul Haque, W.Ps. Nos. 246 f 1969 decided on 10 9 1969."
d1_s67,"In view of the fact that there is a fundamental right of the detenu to have the representation considered by the, appropriate Government such right will be rendered meaningless if the Government will not deal with the matter expeditiously but at its own will and convenience."
d1_s68,"In the case of Khairul Haque W.Ps. Nos. 246 f 1969 decided on 10 9 1969 the petitioner made a representation on 23 June, 1969."
d1_s69,"The Advisory Board made its report on 11 August, 1969."
d1_s70,"On 12 August, 1969, the Governor confirmed the order of detention."
d1_s71,"On 29 August, 1969 the Governor rejected the petitioner's representation."
d1_s72,The delay was not explained in the case.
d1_s73,The disposal of the representation by the Government after the receipt of the Report of the Advisory Board was found by this Court to raise a doubt there whether the Government considered the representation in an independent manner.
d1_s74,This independent consideration by the appropriate Government is implicit in article 22 of the Constitution.
d1_s75,"In the case of Durga Show and Ors., W.Ps. Nos. 198, 205 and 206 of 1969 decided on 2 9 1969. three petitioners were set at liberty."
d1_s76,"There the representation of one detenu was received on 29 May, 1969, and was rejected on II' August, 1969."
d1_s77,"In another case the representation of the detenu was receiver on 18 June. 1969 and was rejected by the Government on 16 August, 1969."
d1_s78,"In the third case the representation of the detenu was received on 28 June, 1969 and was rejected on 14 July, 1969."
d1_s79,"In the case of Durga Show and Ors., W.Ps. Nos. 198, 205 and 206 of 1969 decided on 2 9 1969 the opinion of this Court in the case of Sk."
d1_s80,"Abdul karim, (1969] 3 section C. R. 479 1969 Indlaw SC 262 was restated by emphasising the legal obligation of the appropriate Government to consider the representation of the detenu ""as soon as it is received by it""."
d1_s81,It is established beyond any measure of doubt that the appropriate authority is bound to consider the representation of the detenu as early as possible.
d1_s82,The appropriate Government itself is bound to consider the representation as expeditiously as possible.
d1_s83,The reason for immediate consideration of the representation is too obvious to be stressed.
d1_s84,The personal liberty of a person is at stake.
d1_s85,"Any, delay would not only be an irresponsible act on the part of the appropriate authority but also unconstitutional because the Constitution enshrines the fundamental right of a detenu to have his representation considered and it is imperative that when the liberty of a person is in peril immediate action should be taken by the relevant authorities."
d1_s86,"No definite time can be laid down within which a representation of a detenu should be dealt with save and except that it is a constitutional right of a detenu to, have his representation considered as expeditiously as possible."
d1_s87,"It will depend upon the facts and circumstances of each case whether the appropriate Government has disposed of the case as expeditiously as possible for otherwise in words of Shelat, J. who spoke for this Court in the case of Khairul Haque, W.P. no. 246 of 1969 decided on 10 9 1969."
d1_s88,"it is obvious that the obligation to furnish the earliest opportunity to make a representation loses both its purpose and meaning."
d1_s89,"Broadly stated, four principles are to be followed in regard to representation of detenus."
d1_s90,"First, the appropriate authority is bound to give an opportunity to the detenu to make a representation and to consider the representation of the detenu as early as possible."
d1_s91,"Secondly, the consideration of the representation of the detenu by the appropriate authority is entirely independent of any action by the Advisory Board including the consideration of the representation of the detenu by the Advisory Board."
d1_s92,"Thirdly, there should not be any delay in the matter of consideration."
d1_s93,It in true that no hard and fast rule can be laid down as to the measure of time taken by the appropriate authority for consideration but it has to be remembered that the Government has to be vigilant in the governance of the citizens.
d1_s94,A citizen's right raises a correlative duty of the State.
d1_s95,"Fourthly, 'the appropriate Government is to exercise its opinion and judgment on the representation before sending the case along with the detenu's representation to the Advisory Board."
d1_s96,If the appropriate Government will release the detenu the Government will not send the matter to the Advisory Board.
d1_s97,If however the Government will not release the detenu the Government will send the case along with the detenu'S representation to the Advisory Board.
d1_s98,If thereafter the Advisory Board will express an opinion in favour of release of the detenu the Government will release the detenu.
d1_s99,If the Advisory Board will express any opinion against the release of the detenu the Government may still exercise the power to release the detenu.
d1_s100,"In the present case, the State of West Bengal is guilty of infraction of the Constitutional provision not only by inordinate delay of the consideration of the representation but also by putting off the consideration till after the receipt of the opinion of the Advisory Board."
d1_s101,As we have already observed there is no explanation for this inordinate delay.
d1_s102,The Superintendent who made the enquiry did not affirm an affidavit.
d1_s103,The State has given no information as to why this long delay occurred.
d1_s104,"The inescapable conclusion in the present case is that the appropriate authority failed to discharge its constitutional, obligation by inactivity and lack of independent judgment."
d1_s105,"The petition is, therefore, allowed."
d1_s106,The petitioner is set at liberty.
d1_s107,Petition allowed.
d2_s1,Civil Appeals Nos. 2000 2001 of 1969 from the judgment and order of the Kerala High Court are by grant of special leave by this Court filed on the ground that these appeals raise a question of wide general importance.
d2_s2,"This question was thus framed, in a reference made by the Madras Bench of the Income tax Appellate Tribunal section 64(1) of the Estate Duty Act, 1953:"
d2_s3,"Whether on the facts and in the circumstances of the case, the Appellate Tribunal was correct in law in having included the value of the forest lands in the total value of the Estate for the purpose of Estate Duty ?"
d2_s4,"The assessee had claimed that large tracts of, forest land, covered with wild and natural forest growths, situated in the erstwhile Malabar District, were 'agricultural' lands not liable to estate duty under the Estate Duty Act of 1953 (hereinafter referred to as the Act')."
d2_s5,"According to the Revenue, duty had become leviable on the death of the former owners, Smt."
d2_s6,"Jayalakshmi Devi, who died on 6 3 1954, and Shri Madhava Rajah of Kollengode, who died on 9th May, 1955, each owning 1/13th share in the Tarwad properties on the dates of their deaths."
d2_s7,No question as to the effect of any amendment of the law upon liability of agricultural laud to Estate duty was referred by the Tribunal to the High Court.
d2_s8,"Nevertheless, it seems to have been considered by reason of the general nature of the question referred involving a determination of the correctness of the inclusion of the value of ""forest land in the total value of the estate""."
d2_s9,"We may observe here that the question framed seems to rest on the assumption that the land under consideration was ""forest land""."
d2_s10,"However, the general nature of the question framed and the questions argued and decided by the Appellate Tribunal as well as the High Court indicated that the real contest was about the very nature of the land involved in order to determine whether it was liable to estate duty."
d2_s11,"The High Court had observed that the Tribunal's findings that land, to the extent of 36,857.16 acres, was not agricultural land was ""solely based on the absence of evidence or the assessee's failure to prove that the disputed forest lands are agricultural lands""."
d2_s12,The High Court had also mentioned the basis of this finding relating to two types of land about which it had disagreed with the Appellate Tribunal while agreeing with the Tribunal that 500 acres of rocky land was non agricultural land.
d2_s13,This basis was given by quoting the 'following two passages from the judgment of the Appellate Tribunal:
d2_s14,"(1) According to the valuers, the remaining extent of 15,000 and odd acres out of the first category, has been leased by the assessee from time to time for cutting of timber and fuel wood, and has never been used by him either by himself or through lessees to bring it under cultivation for any purpose."
d2_s15,There is no material on record from which it can be said that this area can at all be brought under cultivation for any purpose.
d2_s16,"Even if it is assumed that, there is a bare possibility of this area being brought under cultivation, the assessee has not placed any material before us from which it can be said that a prudent owner would undertake any process of farming in respect of this land""."
d2_s17,"(2) ""With regard to the second category of the land of the extent of 16,000 and odd acres, the report of the valuers does not throw any light upon the nature of this land, and the only information available is that these lands have been held by the Kerala Government under a perpetual lease on an annual rent of rs. 5,000/ ."
d2_s18,The assessee has not shown whether this land was being cultivated. by the Kerala Government or whether it was Only being exploited by the Kerala Government for its timber value.
d2_s19,"On the material on record, it is not possible for these lands to come. under the category of agricultural lands""."
d2_s20,The High Court had set out the provisions of section 5 of the Act as they stood before a slight amendment in 1956.
d2_s21,It read:
d2_s22,Levy of estate duty
d2_s23,"(1) In the case of every person dying after the commencement of this Act, there shall, save as hereinafter expressly provided, be levied and paid upon the principal value ascertained as hereinafter provided of all property settled or not settled, including agricultural land situate in the States specified in the First Schedule to this Act, which passes on the death of such person, a duty called 'estate duty' at the rates fixed in accordance with section 35."
d2_s24,"(2) The Central Government may, by notification in the official Gazette, and the names of any other States to the First Schedule in respect whereof resolutions have been passed by the Legislatures of those States adopting this Act u/cl. (1) of article 252 of the Constitution in respect of estate duty on agricultural lands situate in those States, and on the issue of any such notification the States so added shall be deemed to be States specified in the First Schedule within the meaning of sub section (1)""."
d2_s25,"After pointing out that agricultural land falls under item 48 of List II or the State List in the Seventh Schedule of the Constitution, the High Court held that estate duty on the land under consideration would become leviable provided it was agricultural land on the passing of resolutions by the legislature of the State of Madras as provided by section 5 (2) set out above."
d2_s26,"These resolutions having been passed on 2 4 1955, the State of Madras was added in the First Schedule to the Act with effect from 6th June, 1955."
d2_s27,"Hence, the High Court held that the estate duty was not leviable under the Act on agricultural land, before 6th June, 1955, in the Madras State to which the land under consideration had belonged at the time when it was said to have become subject to a levy of estate duty."
d2_s28,"Thus, the principal question which arose was: What is the meaning of ""agricultural land"" as that term is used in the Act ?"
d2_s29,"The High Court of Kerala, which had to deal with this reference decided the question on two grounds: firstly, that, according to the views expressed in Sarojni Devi vs Srikrishna, A.I.R. 1944 Mad. 401 and Megh Raj vs Allah Rakha, A.I.R. 1942 PC 27 and C.I.T. West Bengal, Calcutta, vs Raja Benoy Kumar Sahas Roy, [1957] 32 ITR 466 1957 Indlaw SC 165 the words ""agricultural land"" should be ""interpreted in their widest significance""; and, secondly, that although the burden rested upon an assesee to establish an exemption from liability to estate duty in respect of any part of his estate, yet, if he claimed immunity on the ground that the subject matter does not fall within the ambit of the taxing power of the legislature imposing the duty, the Revenue had to establish that the subject matter involved is taxable."
d2_s30,It then gave its opinion in the following terms:
d2_s31,"It is well known that the extensive areas of different varieties of plantation that we have got in this State were once forest lands, and it is also equally well known that year after year large areas of forest lands in this State are being cleared and converted into valuable plantations."
d2_s32,"In the absence of exceptional circumstances such as the land being entirely rocky or barren for other reasons, all forest lands in this State are agricultural lands in the sense that they can be prudently and profitably exploited for agricultural purposes."
d2_s33,"There is no case that the forest lands concerned in this case or any part thereof are unfit for agricultural exploitation""."
d2_s34,"So far as the correct interpretation of the term ""agricultural laud"" in a taxing statute, such as the one before us, is concerned, we have already dealt with the question in our judgment in Commissioner of Wealth tax, Andhra Pradesh vs Officer in Charge (Court of Wards) Paigah, [1977] 1 S.C.R. 146 1976 Indlaw SC 503 where we have said:"
d2_s35,"We think that it is not correct to give as wide a meaning as possible to terms used in a statute simply because the statute does not define an expression."
d2_s36,The correct rule is that we have to endeavour to find out the exact sense in which the words have been used in a particular context.
d2_s37,We are entitled to look at the statute as a whole and give an interpretation in consonance with the purposes of the statute and what legally follows from the terms used.
d2_s38,We are to avoid absurd results.
d2_s39,"If we were to give the widest possible connotation to the words 'agricultural land', as the Full Bench of the Andhra Pradesh High Court seemed inclined to give to the term 'agricultural land', we would reach the conclusion that practically all land, even that covered by buildings is 'agricultural land' is as much as its potential or possible use could be agricultural."
d2_s40,The object of the Wealth Tax Act is to tax surplus wealth.
d2_s41,It is clear that all land is not excluded from the definition of assets.
d2_s42,It is only 'agricultural land' which could be exempted.
d2_s43,"Therefore, it is imperative to give reasonable limits to the scope of the agricultural land', or, in other words, this exemption had to be necessarily given a more restricted meaning than the very wide ambit given to it by the Andhra Pradesh Full Bench""."
d2_s44,"Learned Counsel for the respondents had sought to rely strongly upon State of Kerala & Anr. vs The Gwalior Rayon Silk Manufacturing (Wvg.) Co. Ltd. etc., [1974] (1) S.C.R. p. 671 1973 Indlaw SC 190, 682 where the question under consideration was whether the Kerala Private Forests (Vesting and Assignment) Act 26 of 1971, purporting to acquire forest lands held on Janmam right,' without payment of compensation, for implementing a scheme of agrarian reform by assigning lands or leasing them to poorer sections of rural agricultural population, was acquiring ""agricultural land"", for purposes' stated in. the Preamble to the Act before this Court for interpretation. This Court interpreted the Preamble as having the effect of an earmarking by Legislature of certain forest lands for conversion into land meant for agriculture."
d2_s45,"We do not think that the forest land involved in Gwalior Rayon Silk Manufacturing (Wvg.) Co. Ltds.' case 1973 Indlaw SC 190 (supra), which had become linked up with agricultural purposes and earmarked for them, by reason of a special statute for special purpose can bear comparison with forest land with ""spontaneous"" or natural and wild growths of forest, which is involved in the case now before us."
d2_s46,The decision in Gwalior Rayon Silk Manufacturing (Wvg.) Co.'s case 1973 Indlaw SC 190 (supra) obviously depended upon the special facts of that case and the character of provisions to be interpreted.
d2_s47,"This Court keeping in view the special features of that case, in the context of certain judicial pronouncements mentioned in the statement of objects and reasons for the statute to be interpreted, observed there (at p. 683):"
d2_s48,"It is, therefore, manifest that when the legislature stated in the Preamble that the private forests are agricultural land, they merely wanted to convey that they are lands which by and large could be prudently and profitably exploited for agricultural purposes."
d2_s49,"It seems clear to us that this Court, by explaining why, for certain special reasons and in an unusual context, certain land described as ""forest land"" was to be treated as though it had become ""agricultural"", implied that ordinarily this is not so."
d2_s50,"In Rajah Anand Brahma Shah vs State of U.P. & Ors., [1967] 1 S.C.R. 373 1966 Indlaw SC 54 at p. 379 this Court held forest land to be non arable which meant ""non agricultural""."
d2_s51,"We think that, without evidence to show that such land had been cleared and prepared or earmarked for agricultural purposes, it must be treated as prima facie non agricultural land."
d2_s52,Learned Counsel appearing for the respondent stated before us that the lands under consideration had also been subsequently acquired by the Govt. and put to agricultural uses.
d2_s53,"There is, however, no finding or evidence before us to that effect."
d2_s54,"Apparently, the learned Counsel meant that forest land subsequent to the levy of estate duty had been acquired by the State to be converted and used for agricultural purposes."
d2_s55,"There being no evidence or finding of such a character before the events which attracted the estate duty, we cannot take notice of such a statement by Counsel."
d2_s56,It is irrelevant for the purpose of the cases before us.
d2_s57,"So far as the question of burden of proof is concerned, we think that to proceed on the assumption that all land is prima facie capable of cultivation, so that the State must prove that it is non agricultural in order to establish that it could be the subject matter of legislation which was within Parliament's legislative competence, and, therefore, covered by the Act, is to mix up the question of legislative competence and that of taxability of what is, on the face of it, taxable as part of the estate or property of the assessee within the meaning of section 5 of the Act set out above."
d2_s58,"Indeed, the question of legislative competence of Parliament was neither in issue nor part of the question referred even if such a question could have been referred at all by a Tribunal functioning under the Act."
d2_s59,We think that the burden of establishing the exemption lay upon the assessee respondent as was rightly held by the High Court.
d2_s60,"We think that the High Court was not correct in placing the burden upon the Department, after it was admitted that it was ""forest land"", on the ground that the further question of an immunity of the subject matter from taxation by Parliament arose here and that, therefore, the onus lay on the Department."
d2_s61,"Even if there could be such an onus here, it was, we think, sufficiently discharged by the admission that this was ""forest land"" covered with natural or wild growths."
d2_s62,"After that, at any rate, the assessee had to prove change of its character."
d2_s63,"In Commissioner of Wealth Tax, Andhra Pradesh vs Officer incharge (Court of Wards) Paigah 1976 Indlaw SC 503, (supra), in which we heard arguments together with arguments in the case now before us, we found that there was some evidence of the agricultural character of land in the shape of entries in revenue record."
d2_s64,We do not find what could similarly constitute evidence of agricultural character of the land involved in this case.
d2_s65,"On the other hand, the assessee's admission that the land under consideration was ""forest land"", covered by wild and natural growth of forests, constituted evidence to the contrary."
d2_s66,"We think that, unless there was evidence that such lands had been, in some way, set apart or earmarked for or linked up with an agricultural purpose, by their owners or occupiers, it could not be held that they are agricultural lands."
d2_s67,"We think that the view of the Kerala High Court, that ""all forest lands in this State are agricultural lands in the sense that they can be prudently and profitably exploited for agricultural purposes"", is too wide."
d2_s68,It is erroneous for the reasons we have already set out in our judgment in the case from the Andhra Pradesh High Court.
d2_s69,The question has to be decided on evidence of actual or intended user for which land may have been prepared or set apart.
d2_s70,"In the case before us now, the Tribunal said in its referring order:"
d2_s71,"The Tribunal permitted the accountable person to raise the contention that the value of the forest lands has to be excluded as they were agricultural lands."
d2_s72,"So far as this contention was concerned, the following facts were not in dispute: viz., that the forest consisted of trees of spontaneous growth; that no operations in the nature of forest development were being carried on; and, that only operations in the nature of exploitation of the forest were being conducted."
d2_s73,"The accountable person, however, contended that these lands were capable of being brought under cultivation at a future date and that therefore they must be deemed to be agricultural lands."
d2_s74,Reliance was sought to be placed upon the decision of the Madras High Court in Sarojini Devi vs Shri Krishna (AIR 1944 Madras p. 401) in which it was held that the expression 'agricultural lands' must be taken to include lands which are used or are capable of being used for raising any valuable plants or trees or for any other purpose of husbandry.
d2_s75,"The Tribunal was, however, of the view that in the said decision their Lordships did not intend to lay down a definition of the expression 'agricultural lands' for all purposes, and that, on the other hand, they clearly indicated that the expression admits of different interpretations and that it was only from the context of the particular enactment in which this expression is used that' its meaning has to be inferred."
d2_s76,The Tribunal observed that the very wide definition of the expression 'agricultural lands' laid down in the above cited decision was not applicable to cases under the Estate Duty Act.
d2_s77,"The Tribunal, therefore, negatived the contention of the accountable person that the forest lands had to be excluded from the value of the assessable estate of the deceased""."
d2_s78,"Thus, it is clear that the assessee, after having been given due opportunity to lead evidence to show that what was prima facie non agricultural land, in the sense that it was covered by the spontaneous or natural growth of forests, was really agricultural land, had led no such evidence."
d2_s79,It was not shown that the assessee or his predecessor in interest did anything to develop the forest in the sense that any particular trees were planted deliberately.
d2_s80,It appears that the nature of exploitation of the forest lands was simply to give contracts for cutting of the trees.
d2_s81,"The assessee not having led any evidence of any intention to prepare or appropriate or ear mark the land for any agricultural use or purpose, but', on the other hand, having contended that mere possibility of using such land for agricultural purposes in future was enough, could not be said to have discharged his onus of proof."
d2_s82,"After the assessee's admission that it was ""forest land"" which presumably prevented cultivation, no evidence was led as we have already observed to indicate any change of character of this land or its conversion into agricultural land."
d2_s83,We therefore think that the Appellate Tribunal was correct in expressing the view it had taken and the conclusions it had recorded.
d2_s84,"And, no case is made out for sending the case back to the Tribunal for any fresh decision."
d2_s85,"Consequently, we allow these appeals, set aside the judgment and orders of the High Court."
d2_s86,The parties will bear their own costs.
d3_s1,"Mrs. Frances Coralie Mullin, a British National was served on November 23, 1979, with an order of detention under the Conservation of Foreign Exchange and Prevention of Smuggling Activities Act."
d3_s2,The grounds of detention were also served on her on the same day.
d3_s3,"On December 1, 1979, her Advocate sent a telegram to the detaining authority, namely, the Administrator, Union Territory of Delhi, asking for copies of statements and documents upon which reliance was placed in the grounds of detention."
d3_s4,"The telegram was received by the detaining authority on December 3, 1979."
d3_s5,"The Director of Revenue Intelligence who was directed by the Administrator, Union Territory of Delhi, to supply copies of statements and documents to the detenu, so supplied them on December 7, 1979."
d3_s6,Seventeen documents were mentioned in the accompanying letter.
d3_s7,"Alleging that one of the documents (item no. 14) was not sent, the Advocate wrote a letter by Registered post on December 17, 1979, asking for a copy of that document also."
d3_s8,"A reply was sent on January 1, 1980, to the effect that document no. 14 had also been supplied earlier but nonetheless another copy of the same document was being sent again."
d3_s9,"On December 22, 1979, the detenu made a representation to the detaining authority and it was actually received by the latter on December 26, 1979."
d3_s10,The Home Department of the Delhi Administration forwarded a copy of the representation to the Customs authorities for their remarks.
d3_s11,"The remarks were received on January 4, 1980."
d3_s12,"Thereafter the representation was considered and rejected by the Administrator on January 15, 1980."
d3_s13,"The rejection of the representation was communicated to the detenu on January 17, 1980."
d3_s14,"In the meanwhile the Advisory Board to whom the detention of the petitioner had been referred met on January 4, 1980 and considered the matter."
d3_s15,The detenu was produced before the Advisory Board and various concerned Departmental officials were also present.
d3_s16,"On January 10, 1980, the Advisory Board recorded its opinion and forwarded the same to the detaining authority."
d3_s17,"It was received by the Home Department of the Delhi Administration on January 11, 1980 but was actually placed before the Administrator on January 19, 1980 when the detaining authority confirmed the order of detention."
d3_s18,"In this application for the issue of a writ of Habeas Corpus three submissions were made by Shri Ram Jethmalani, learned counsel for the petitioner :"
d3_s19,"The representation of the detenu, made on December 22, 1979, was not communicated to the Advisory Board as it ought to have been, when the Board met on January 4,1980."
d3_s20,The detaining authority should have disposed of the representation before forwarding it to the Advisory Board.
d3_s21,"Even if the detaining authority did forward it to the Advisory Board, the detaining authority should not have awaited the hearing before the Advisory Board and should not have allowed itself to be influenced by such hearing."
d3_s22,There was inexcusable delay in enabling the detenu to make a representation and indisposing of the representation.
d3_s23,"Notwithstanding the clear assertion in the additional grounds raised by the petitioner, which she was allowed to do by an order of the Court, that her representation dated December 22, 1979, was not placed before the Advisory Board when the Board met on January 4, 1980, there was no specific denial of the assertion in the counter filed by the Delhi Administration to the additional grounds."
d3_s24,"However, we were informed by Shri Abdul Khader, learned Counsel for the Delhi Administration, that the representation was in fact forwarded to the Advisory Board and also considered by the latter."
d3_s25,He produced the relevant files before us which we also permitted Shri Jethmalani to inspect.
