id,sentence,rhetoricalRole,relevance
62,"It is not unlikely that even in this process of reaching administrative decisions, the administrative bodies or authorities are required to act fairly and objectively and would in many cases have to follow the principles of natural justice; but the authority to reach decisions conferred on such administrative bodies is clearly distinct and separate from the judicial power conferred on courts, and the decisions pronounced by administrative bodies are similarly distinct and separate in character from judicial decisions pronounced by courts.",Ruling by Present Court,0
63,Tribunals which fall within the purview of article136(1) occupy a special of their own under the scheme of our Consti 373 tution.,Ruling by Present Court,0
64,"Special matters and questions are entrusted to them for their decision and in that sense, they share with the courts one common characteristic: both the courts and the tribunals are "" constituted by the State and are invested with judicial as distinguished from purely administrative or executive functions. """,Ruling by Present Court,0
65,(vide Durga Shankar Mehta vs Thakur Raghuraj Singh and Others) (1).,Ruling by Present Court,0
66,They are both adjudicating bodies and they deal with and finally determine disputes between parties which are entrusted to their jurisdiction.,Ruling by Present Court,0
67,"The procedure followed by the courts is regularly prescribed and in discharging their functions and exercising their powers, the courts have to conform to that procedure.",Ruling by Present Court,0
68,"The procedure which the tribunals have to follow may not always be so strictly prescribed, but the approach adopted by both the courts and the tribunals is substantially the same, and there is no essential difference between the functions that they discharge.",Ruling by Present Court,0
69,"As in the case of courts, so in the case of tribunals, it is the State's inherent judicial power which has been transferred and by virtue of the said power, it is the State's inherent judicial function which they discharge.",Ruling by Present Court,1
70,"Judicial functions and judicial powers are one of the essential attributes of a sovereign State, and on considerations of policy, the State transfers its judicial functions and powers mainly to the courts established by the Constitution; -but that does not affect the competence of the State, by appropriate measures, to transfer a part of its judicial powers and functions to tribunals by entrusting to them the task of adjudicating upon special matters and disputes between parties.",Ruling by Present Court,1
71,"It is really not possible or even expedient to attempt to describe exhaustively the features which are common to the tribunals and the courts, and features which are distinct and separate.",Ruling by Present Court,0
72,The basic and the fundamental feature which is common to both the courts and the tribunals is that they discharge judicial functions and exercise judicial powers which inherently vest in a sovereign State.,Ruling by Present Court,0
73,This problem has been considered by this Court on several occasions and judicial decisions show that it arises in two different forms.,Ruling by Present Court,0
74,"Sometimes, the question which is posed for the decision of this Court is whether a particular decision reached by an authority or a body can be corrected by the issue of a writ of certiorari by the High Courts in exercise of their jurisdiction under article226; and in dealing with this question, it becomes necessary to enquire whether the impugned decision is a judicial or quasi-judicial decision and whether in reaching it, the authority concerned was re quired to adopt a judicial approach and follow the principles of (1) [1955] 1 supreme court reporter 267 at P.  272. 34 natural justice.",Ruling by Present Court,0
75,We will very briefly indicate how this question has been considered by this Court by referring to some important decisions in that behalf.,Ruling by Present Court,0
76,"In the Province of Bombay vs Kusaldas S.  Advani and Others,(1) this Court had to consider whether the powers given to the Provincial Government under sections 10 and 12 of the Bombay Land Requisition Ordinance (V of 1947) required that in exercising them, the Government had to act judicially in the matter of making an order of requisition under section 3.",Ruling by Present Court,0
77,"According to the majority decision, the relevant powers and the scheme of the Ordinance did not make it incumbent on the State Government to act judicially in exercising its powers under section 3.",Ruling by Present Court,0
78,"Dealing with this question, Das J. , as he then was, deduced two principles from an elaborate examination of the relevant decisions cited before the Court.",Ruling by Present Court,0
79,"He held that if a statute empowers in authority not being a court in the ordinary sense to decide disputes arising out of a claim made by one party under the statute which claim is opposed by another party and to determine the respective rights of the contesting parties who are opposed to each other, there is a lis and prima facie, and in the absence of anything in the statute to the contrary, it is the duty of the authority to act judicially and the decision of the authority is a quasi-judicial act.",Ruling by Present Court,0
80,"The second principle which he deduced was that if a statutory body has power to do any act which will prejudicially affect the subject, then although there are not two parties apart from the authority, and the contest is between the authority proposing to do the act and the subject opposing it, the final determination of the authority will yet be a quasi-judicial act provided the authority is required by the statute to act judicially (page 725).",Ruling by Present Court,0
81,"Kania, C.  J. , on the other hand, observed that the true position was that ""when the law under which the authority is making a decision itself requires a judicial approach, the decision would be a quasi-judicial decision.",Ruling by Present Court,0
82,"Prescribed forms are not necessary to make an inquiry judicial, provided in coming to the decision, well recognised principles of approach are required to be followed. """,Ruling by Present Court,0
83,(page 633).,Ruling by Present Court,0
84,"Before we proceed to the next decision of this Court bearing on this point, we would like to refer to the recent decision of the House of Lords in Ridge vs Baldwin and Others ( 2 ) .",Ruling by Present Court,0
85,"In that case, the House of Lords had to consider the question as to whether the watch committee in exercising its authority under section 191 of the Municipal Corporations Act, 1882, was required to act judicially or not.",Ratio of the decision,0
86,The case itself arose out of the dismissal of the appellant Ridge who had been appointed chief constable of a borough police (1) [1950] INSC 22; [1950] supreme court reporter 621. (2) [1963] UKHL 2; L. R.  [1964] A. C.  40. 375 force in 1956.,Ratio of the decision,0
87,"On October 28, 1957, he was suspended from duty by the borough watch committee.",Ruling by Present Court,0
88,"On February 28, 1958, he was acquitted by the jury on the criminal charges against him.",Ruling by Present Court,0
89,"On March 6, 1958, on a charge alleging corruption against the appellant Donovan, J.  who tried the case, referred to the boroughs police force and remarked on its need for a leader ""who will be a new influence and who will set a different example from that which has lately obtained. """,Ruling by Present Court,0
90,"After his acquittal, the appellant applied to be reinstated, but on March 7, 1958, the watch committee at a meeting decided that he had been negligent in the discharge of his duties as chief constable, and, in purported exercise of the powers conferred on them by section 191(4) of the Act of 1882, dismissed him from that office.",Ruling by Present Court,0
91,"Before doing so, no specific charge had been formulated against him, but the watch committee acted.",Ruling by Present Court,0
92,"inter alia, on the appellant's own statements in evidence and the observations made by Donovan J.  during the course of the trial.",Ruling by Present Court,0
93,"The appellant appealed to the Home Secretary, but his appeal was dismissed on the ground that there was sufficient material on which the watch committee could properly exercise their power of dismissal under section 191(4).",Ruling by Present Court,0
94,"It is this dismissal which led to the action by the appellant against the watch committee for a declaration that his dismissal was illegal, ultra vires and void, and payment of salary from March 7, 1958, or, alternatively, payment of pension from that date and damages.",Ruling by Present Court,0
95,That is how the question which arose for decision was whether the watch committee acting under section 191(4) had to act judicially.,Ratio of the decision,0
96,"The majority decision was that it had to act judicially, and since the order of dismissal was passed without furnishing the appellant with a specific charge, it was a nullity.",Ratio of the decision,0
97,"In dealing with the appellant's contention that the watch committee had to act judicially, Lord Reid has exhaustively considered the judicial decisions bearing on this point.",Ratio of the decision,0
98,"He referred in particular to the following observation made by Atkin L.  J.  in Rex vs Electricity Commissioners, Exparte London Electricity, Joint Committee company (1920) limited & Others(-') : ""Wherever any body of persons having legal authority to determine questions affecting the rights of subjects, and having the duty to act judicially, act in excess of their legal authority, they are subject to the controlling jurisdiction of the King's Bench Division exercised in these writs. """,Ruling by Present Court,0
99,"This observation was later read by Lord Hewart, C. J.  in Rex vs Legislative Committee of the Church Assembly, Exparte Havnes Smith(2), as meaning that before the decision of any authority could be sub (1) [1924] 1 K. B. D.  171, 205. 3Sup.",Ruling by Present Court,0
100,"/65-8 (2) [1928] 1 K. B. D.  411. 376 jected to the writ jurisdiction, it must appear that the said body should have legal authority to determine questions affecting the rights of subjects and should further be required to act judicially.",Ruling by Present Court,0
101,"The duty to act judicially, observed Lord Hewart, C.  J. , is an ingredient which, if the test is to be satisfied, must be present.",Ruling by Present Court,0
102,"The Privy Council in Nakkuda Ali vs Jayaratne(1), had taken the same view.",Ruling by Present Court,0
103,"Dealing with the order passed by the Controller of Textiles in Ceylon under a Defence Regulation which empowered him to cancel a licence ""where the controller has reasonable grounds to believe that any dealer is unfit to be allowed to continue as a dealer. """,Ruling by Present Court,0
104,the Privy Council held that it did not follow from the words of the relevant Defence Regulation that the controller must be acting judicially in exercising the power.,Ruling by Present Court,0
105,"It is a long step, said the Privy Council, in the argument to say that because a man is enjoined that he must not take action unless he has reasonable ground for believing something he can only arrive ,at that belief by a course of conduct analogous to the judicial process.",Ruling by Present Court,0
106,"And yet, unless that proposition is valid, there is really no ground for holding that the controller is acting judicially or quasijudicially when he acts under this regulation.",Ruling by Present Court,0
107,"If he is not under a duty so to act, then it would not be according to law that his decision should be amenable to review and, if necessary, to avoidance by the procedure of certiorari.",Ruling by Present Court,0
108,"Having set out these decisions, Lord Reid expressed his dis sent from the gloss which has been put by Lord Hewart C.  J.   in Rex vs Legislative Committee of the Church Assembly 2 ) on the observations of Atkin, L.  J.  in Rex vs Electricity Commissioners(""), and the view taken by the Privy Council in Nakkuda Ali(1); and he held that ""the power of dismissal conferred on the watch committee by section 191(4) could not have been exercised and cannot now be exercised until the watch committee have informed the constable of the grounds on which they propose to proceed and have given him a proper opportunity to present his case in defence. """,Ruling by Present Court,0
109,(page 79).,Argument,0
110,"In other words, according to Lord Reid's judgment, the necessity to follow judicial procedure and observe the principles of natural justice, flows from the nature of the decision which the watch committee had been authorised to reach under section 191(4).",Argument,0
111,"It would thus be seen that the area where the principles of natural justice have to be followed and judicial approach has to be adopted, has become wider and consequently, (2) (1928] 1 K. B. D.  411 (1) [1951] A. C.  66, 77. (3) [1924] 1 K.  B. D.  411. 377 the horizon of the writ jurisdiction has been extended in a corresponding measure.",Argument,0
112,"In dealing with questions as to whether any impugned orders could be revised under article 226 of our Constitution, the test prescribed by Lord Reid in this judgment may afford considerable assistance.",Argument,0
113,"In Nagendra Nath Bora & Another vs The Commissioner of Hills Division and Appeals, Assam, & others (1) this Court had to consider whether the jurisdiction of the High Court under article 226 and 227 of the Constitution could be invoked against the decision of the appellate authority constituted under the Eastern Bengal and Assam Excise Act, 1910 (E.  B. & Assam Act 1 of 1910).",Argument,0
114,"The scheme of the Act was examined and it was noticed that the Act had laid down a regular hierarchy of authorities, one above the other, with the right of hearing appeals or revisions.",Argument,0
115,"It is true that there was no provision in the Act which required, in express terms, that reasoned orders should be recorded; but in the context of the subject-matter of the rules, it was held that it was the duty of the appellate authority to hear judicially, that is to say, in an objective manner, impartially and after giving reasonable opportunity to the parties concerned in the dispute, to place their respective cases before it. (page 1254).",Argument,0
116,"On that view of the matter, the decision of the appellate authority was theoretically held to be subject to the jurisdiction of the High Court under article 226 to issue a writ of certiorari.",Argument,0
117,"In Shivji Nathubhai vs The Union of India & Others(2), this Court held that in exercising its power of review under rule 54 of the Mineral Concessions Rules, 1949, the Central Government acted judicially and not administratively.",Argument,0
118,"In consequence, the decision of the Central Government was liable to be questioned on proper grounds under article 226 of the Constitution.",Argument,0
119,"The question as to whether the State Government in granting the mining lease acted merely administratively or not, was not considered in this case, because it was enough for the purpose of deciding the appeal that the powers of review were not administrative powers and exercise of the said powers would be subject to examination by the High Courts under article 226.",Argument,0
120,"It will be noticed that in these cases, this Court was not called upon to consider whether the authorities whose decisions were challenged under article 226 were tribunals or not, because the requirement that the impugned decision should be that of a tribunal which has been prescribed by AA. 136(1) is not to be found (1) [1958] INSC 6; [1958] supreme court reporter 1240. (2) [1960] INSC 7; [1960] 2 supreme court reporter 775. 378 in article 226; and so, the only point which fell for decision was whether the impugned orders amounted to judicial or quasi-judicial decisions liable to be corrected by the issue of a writ of certiorari under article 226, or not.",Argument,0
121,That problem is different from the one which we have to decide in the present case.,Argument,0
122,Let us now refer to some of the decisions which deal with the problem with which we are concerned.,Argument,0
123,"The first decision where this question was elaborately considered was pronounced in the case of The Bharat Bank limited , Delhi, vs   Employees of the Bharat Bank limited , and the Bharat Bank Employees' Union, Delhi(1).",Argument,0
124,"In that case, an award pronounced by an Industrial Tribunal under the provisions of the Industrial Disputes Act, 1947, was brought to this Court in appeal by special leave under article 136(1), and the respondents' preliminary objection that the appeal was in competent, raised the problem as to whether the Industrial Tribunal was a tribunal under article 136(1) or not.",Argument,1
125,The majority decision was in favour of the view that the Industrial Tribunal is a tribunal within the meaning of -article 136(1).,Argument,0
126,"Mahajan J. , who delivered the principal judgment in support of the majority view on this point, held that ""industrial tribunals though they are not full-fledged Courts, yet exercise quasi-judicial functions and are within the ambit of the word 'tribunal' in article 136 of the Con stitution. """,Argument,0
127,(page 476).,Argument,0
128,"""The condition precedent,"" said Mahajan J. , ""for bringing a tribunal within the ambit of article 136 is that it should be constituted by the State.",Argument,0
129,"Again, a tribunal would be outside the ambit of article 136 if it is not invested with any part of the judicial functions of the State but discharges purely administrative or executive duties (page 478). """,Argument,0
130,"It is in this connection that the learned Judge added that tribunals, however, which are found invested with certain functions of a court of justice and have some of its trappings also would fall within the ambit of article 136, because, according to the learned Judge, the intention of the Constitution by the use of the word ""tribunal"" in the article seems to have been to include within the scope of article 136 tribunals adomed with similar trappings as Court but strictly not coming within that definition (page 474).",Argument,0
131,"The fact that awards pronounced by Industrial Tribunals become enforceable under section 17A subject to the conditions therein prescribed, did not make any difference to the legal position that the Industrial Tribunals were tribunals within the meaning of article 136(1).",Argument,0
132,"The majority decision in the case of the Bharat Bank(1), to which we have just referred was adopted unanimously by this Court (1) [19501 supreme court reporter 459. 379 in the case of Durga Skankar Mehta(1).",Argument,0
133,"Speaking for the Court, Mukherjea, J. , observed that it was now well-settled by the majority decision of the Court in the case of Bharat Bank (2 ) that the expression ""Tribunal"" as used in article 136 does not mean the same thing as ""Court"" but includes, within its ambit, all adjudicating bodies, provided they are constituted by the State and are invested with judicial as distinguished from purely administrative or executive functions, subject, of course, to the exception specifically provided for by article 136(2).",Argument,0
134,In M/s.,Argument,0
135,"Harinagar Sugar Mills limited vs Shyam Sundar Jhunj hunwala and Others(3), the question which arose for decision of this Court was whether the Central Government, while it exercises its appellate power Under section 111(3) of the Companies Act, 1956 (number 1 of 1956), was a tribunal within the meaning of article 136(1).",Argument,0
136,"In considering this question, the scheme of the relevant provisions of the Act was examined, the earlier decisions bearing on the point were taken into account and it was held that section 1 1 1(3) required that the Central Government, while acting as an appellate authority, had to act judicially and was entrusted with the judicial powers of the State to adjudicate upon rights of the parties in civil matters when there is a lis between the contesting parties, and so, the conclusion was inevitable that it acts as a tribunal and not as an executive body.",Argument,0
137,"In that connection, Shah J. , who spoke for the majority of the Court, observed that the proceedings before the Central Government have all the trappings of a judicial tribunal;  and by way of illustration, he referred to the fact that pleadings had to be filed, evidence had to be led, and the disputes had to be decided according to law after considering the representations made by the parties.",Argument,0
138,"Hidayatullah J. , differed from the majority decision on the question as to the final order which should be passed in the said appeals.",Argument,0
139,"He held that there was no reason for the Central Government to have passed the impugned order, and so, he wanted the appeals to be allowed.",Argument,0
140,"Accordingly, he directed that the impugned order should be set aside and appeals should be allowed with costs.",Argument,0
141,"On the preliminary question as to whether the appeals were competent, the learned Judge agreed with the majority decision that the Central Government was a tribunal within the meaning of article  136(1).",Ratio of the decision,0
142,"Construing article 136(1), the learned Judge observed that courts and tribunals act judicially in both senses which he had earlier discussed, and in the term ""Court"" are included the ordinary and (1) [1955] 1 supreme court reporter 257. (3) [1961] INSC 185; [1962] 2 supreme court reporter 339, 352. (2) (1950] supreme court reporter 459. 380 permanent tribunals and in the term ""tribunal"" are included all others, which are not so included.",Ratio of the decision,0
143,"Among the powers of the State, said Hidayatullah J. , is included the power to decide controversies between parties.",Argument,0
144,"This is undoubtedly one of the attributes of the State, and is aptly called the judicial power of the State.",Argument,0
145,"Broadly speaking, certain special matters go before tribunals, and the residue goes before the ordinary Courts of Civil Judicature.",Argument,0
146,"Their procedures may differ, but the functions are not essentially different (pp. 362-63).",Argument,0
147,"Thus, it would be noticed that all the learned Judges who heard this case, were agreed in taking the view that the essential power which was exercised by the courts and tribunals alike was the judicial power of the State.",Argument,0
148,"In Jaswant Sugar Mills limited , Meerut vs Lakshmichand and Others(1), this Court has held that the Conciliation Officer acting under clause 29 of the Order promulgated in 1954 under the U. P.  Industrial Disputes Act, 1947, has to act judicially in granting or refusing permission to alter the terms of employment of workmen at the instance of the employer, but even so, he was not a tribunal, because he was not invested with the judicial power of the State, as he was empowered merely to lift the ban statutorily imposed on the employer's rights, and was not authorised to pronounce a final and binding decision in any dispute.",Argument,0
149,That is why an appeal preferred against the order of the said Conciliation Officer was held to be incompetent under article 136(1).,Argument,0
150,"""The condition precedent for bringing a tribunal within the ambit of article 136,"" observed Shah J. , who spoke for the Court, ""is that it should be constituted by the State;"" and he added that a tribunal would be outside the ambit of article 136 if it is not invested with any part of the judicial functions of the State but discharges purely administrative or executive duties.",Ratio of the decision,0
151,"After examining the scheme of the relevant provision, it was observed that ""in deciding whether an authority required to act judicially when dealing with matters affecting rights of citizens may be regarded as a tribunal, though not a Court, the principal incident is the investiture of the 'trappings of a court'-such as authority to determine matters in cases initiated by parties, sitting in public, power to compel attendance of witnesses and to examine them on oath, and others .",Ratio of the decision,0
152,"Some, though not necessarily all such trappings will ordinarily make the authority which is under a duty to act judicially, a 'tribunal'. """,Ratio of the decision,0
153,"In the Engineering Mazdoor Sabha representing Workmen em ployed under the Hind Cycles limited & another vs The Hind Cycles limited , Bombay(2), the question which arose for decision of this (1) [1963] Supp.",Ruling by Present Court,0
154,"I supreme court reporter 242, 259-60.",Ruling by Present Court,0
155,(2) [1963] Supp.,Ruling by Present Court,0
156,"I S. CR. 625. 381 Court was whether an arbitrator appointed under section 10A of the Industrial Disputes Act, 1947 (number 14 of 1947) can be said to be a tribunal under article 136(1), and in rendering the answer to this question in the negative, this Court observed that apart from the importance of the trappings of a Court, the basic and essential condition which makes an authority or a body a tribunal under article 136, is that it should be constituted by the State and should be invested with the State's inherent judicial power.",Ratio of the decision,0
157,"Even so, the judgment has referred to the trappings of a Court and it has been observed that sometimes a rough and ready test is applied in determining the status of an adjudicating body by enquiring whether the said body or authority is clothed with the trappings of a court.",Ratio of the decision,0
158,"In that connection, it was added that the presence of the said trappings does not necessarily make the Tribunal a Court.",Ratio of the decision,0
159,"The Arbitrator appointed under section 10 A was, however, held to be not a tribunal, because his appointment was essentially based on the agreement of the parties concerned and as such, his position was somewhat analogous to that of the arbitrator appointed by the parties.",Ruling by Present Court,0
160,In Indo-China Steam Navigation company limited vs Jasjit Singh Addl.,Ruling by Present Court,0
161,"Collector of Customs, Calcutta and others ,(1) the status of the Central Board of Revenue exercising its appellate power under section 190 of the Sea Customs Act, 1878 and that of the Central Government exercising its power under section 191 came to be examined.",Ruling by Present Court,0
162,"It was common ground that the Customs Officer exercising his authority under section 167 of the said Act was not a 'Court' or a 'Tribunal'; nevertheless, it as held that the Central Board of Revenue and the Central Government exercising their respective powers under sections 190 and 191 were 'tribunals' under article 136(1).",Ruling by Present Court,0
163,This conclusion proceeded on the main ground that both the appellate and the revisional authorities in question are invested with the judicial power of the State and are required to act judicially.,Ruling by Present Court,0
164,"On this occasion, again, this Court referred to the trappings of a Court and observed that the presence of some of the trappings of a Court may assist to determine whether the proceedings before the authority in question are judicial or not, though it was emphasised that apart from the said test of trappings, the basic test was whether the authority in question had been constituted by the State and had been given a part of the State's inherent judicial powers.",Ruling by Present Court,1
